match_date,tournament ,surface,versus,score,results
13?Aug?2026,Cincinnati,Hard,(9)Amanda Anisimova [USA] d. (17)Eala,4-6 6-4 6-2,L
13?Aug?2026,Cincinnati,Hard,(17)Eala d. Elena Gabriela Ruse [ROU],6-1 3-0 RET,W
2?Aug?2026,Toronto,Hard,(12)Belinda Bencic [SUI] d. (25)Eala,6-4 6-0,L
2?Aug?2026,Toronto,Hard,(25)Eala d. Caty Mcnally [USA],6-3 5-7 6-4,W
2?Aug?2026,Toronto,Hard,(25)Eala d. Alycia Parks [USA],6-1 4-6 6-2,W
27?Jul?2026,Washington,Hard,Eala d. (1)Jessica Pegula [USA],4-6 6-4 6-0,W
27?Jul?2026,Washington,Hard,Eala d. (3)Naomi Osaka [JPN],6-4 6-2,W
27?Jul?2026,Washington,Hard,Eala d. (2)Elina Svitolina [UKR],6-3 6-4,W
27?Jul?2026,Washington,Hard,Eala d. (7)Leylah Fernandez [CAN],6-2 7-6(1),W
27?Jul?2026,Washington,Hard,Eala d. (WC)Qinwen Zheng [CHN],4-6 6-4 6-1,W
29?Jun?2026,Wimbledon,Grass,(13)Jasmine Paolini [ITA] d. (29)Eala,6-4 4-6 6-3,L
29?Jun?2026,Wimbledon,Grass,(29)Eala d. (3)Iga Swiatek [POL],7-6(9) 6-2,W
29?Jun?2026,Wimbledon,Grass,(29)Eala d. Maya Joint [AUS],3-6 6-2 6-0,W
29?Jun?2026,Wimbledon,Grass,(29)Eala d. Renata Zarazua [MEX],6-1 6-2,W
21?Jun?2026,Bad Homburg,Grass,Elise Mertens [BEL] d. Eala,6-3 6-3,L
15?Jun?2026,Berlin,Grass,(8)Linda Noskova [CZE] d. (WC)Eala,6-2 6-4,L
15?Jun?2026,Berlin,Grass,(WC)Eala d. (6)Elina Svitolina [UKR],6-3 6-4,W
15?Jun?2026,Berlin,Grass,(WC)Eala d. (2)Elena Rybakina [KAZ],7-5 6-4,W
15?Jun?2026,Berlin,Grass,(WC)Eala d. (SE)Donna Vekic [CRO],7-5 6-4,W
